DATE,HomePriceIndex,FedFundsRate,UnemployedRate,CPI,HousingStarts
2019-09-30,210.02433333333332,2.19,7.8,256.08933333333334,1308.6666666666667
2019-12-31,212.80233333333334,1.6433333333333333,7.8,257.888,1408.6666666666667
2020-03-31,215.784,1.26,7.8,258.7673333333333,1455.6666666666667
2020-06-30,217.1196666666667,0.06,7.8,256.326,1079.3333333333333
2020-09-30,222.40833333333333,0.09333333333333334,7.8,259.2416666666667,1462.3333333333333
2020-12-31,233.13400000000001,0.09000000000000001,7.8,261.04966666666667,1577.0
2021-03-31,242.54166666666666,0.08,7.8,263.6703333333333,1571.3333333333333
2021-06-30,253.53333333333333,0.07,7.8,268.62266666666665,1579.0
2021-09-30,266.4346666666667,0.09000000000000001,7.8,272.89000000000004,1586.0
2021-12-31,277.444,0.08,7.8,278.6803333333333,1682.6666666666667
